SQRP SY2020 Individual Indicator Scores (Based on 2018-2019 Data),,,,,,NWEA MAP Growth Indicators - All Students,,,,,,,,,,,,NWEA MAP Growth Indicators - Priority Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWEA MAP Attainment Indicators,,,,,,,,,,,,,,,,ACCESS,,,,Other Indicators,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2019-2020 SQRP Rating,SY 2019-2020 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,"Pct of Students Making Sufficent 
Annual Progress",,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,
400029,CICS - WASHINGTON PARK,Charter,3,Level 2+,Not Applicable,68,100,3,17.5,52,100,3,17.5,57.8,100,3,10,68,100,4,1.25,.,.,.,.,.,.,.,.,86,100,5,1.25,52,100,4,1.25,.,.,.,.,.,.,.,.,53,100,4,1.25,68,100,3,5,52,100,3,5,66,99,3,2.5,55,99,3,2.5,.,.,.,.,93.8,2,20,Moderately Organized,3,10,99.3,5,5,
400030,CICS - WEST BELDEN,Charter,4.1,Level 1+,Not Applicable,87,100,4,15,50,100,3,15,58.6,100,3,10,.,.,.,.,90,100,5,1.25,99,100,5,1.25,.,.,.,.,.,.,.,.,53,100,4,1.25,96,100,5,1.25,.,.,.,.,86,100,4,5,78,100,4,5,99,100,5,2.5,99,100,5,2.5,37.4,100,3,5,96.1,5,20,Well Organized,5,10,100,5,5,
400031,CICS - WRIGHTWOOD,Charter,3,Level 2+,Not Applicable,56,100,3,17.5,39,100,2,17.5,53.7,100,3,10,54,100,4,1.25,.,.,.,.,.,.,.,.,1,100,1,1.25,37,100,3,1.25,.,.,.,.,.,.,.,.,45,100,3,1.25,49,100,3,5,31,100,2,5,34,100,2,2.5,33,100,2,2.5,.,.,.,.,94.8,3,20,Well Organized,5,10,100,5,5,
400039,ERIE,Charter,3.9,Level 1,Not Applicable,94,100,5,15,76,100,4,15,63,100,4,10,82,100,5,1.25,96,100,5,1.25,.,.,.,.,.,.,.,.,82,100,5,1.25,73,100,5,1.25,.,.,.,.,.,.,.,.,52,100,3,5,23,100,2,5,1,100,1,2.5,1,100,1,2.5,22.3,99,1,5,95.2,4,20,Well Organized,5,10,99.8,5,5,
400040,FRAZIER CHARTER,Charter,2.8,Level 2,Not Applicable,44,100,3,18.75,73,100,4,18.75,50.6,100,3,10,42,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,72,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,20,100,2,5,16,100,2,5,9,96,1,2.5,28,100,2,2.5,.,.,.,.,93.9,2,20,Partially Organized,2,10,99.5,5,5,
400043,HOPE LEARNING ACADEMY,Contract,3,Level 2+,Good Standing,58,100,3,17.5,52,100,3,17.5,49.1,100,2,10,56,100,4,1.25,.,.,.,.,.,.,.,.,11,100,2,1.25,48,100,3,1.25,.,.,.,.,.,.,.,.,35,100,3,1.25,15,100,2,5,15,100,2,5,12,97,2,2.5,7,97,1,2.5,.,.,.,.,94.6,3,20,Well Organized,5,10,100,5,5,
400044,KIPP - ASCEND,Charter,3.9,Level 1,Not Applicable,73,100,4,17.5,78,100,4,17.5,61.6,100,4,10,71,100,5,1.25,.,.,.,.,.,.,.,.,13,100,2,1.25,81,100,5,1.25,.,.,.,.,.,.,.,.,42,100,3,1.25,42,100,3,5,51,100,3,5,5,100,1,2.5,11,100,2,2.5,.,.,.,.,96.2,5,20,Moderately Organized,3,10,99.6,5,5,
400045,NKRUMAH,Charter,2.1,Level 2,Not Applicable,36,100,2,18.75,18,100,2,18.75,45.5,100,2,10,36,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,18,100,2,1.25,.,.,.,.,.,.,.,.,.,.,.,.,17,100,2,5,7,100,1,5,51,100,3,2.5,13,100,2,2.5,.,.,.,.,90.7,1,20,Organized,4,10,96.4,4,5,
400046,LEARN - BUTLER,Charter,2.8,Level 2,Not Applicable,30,100,2,18.75,35,100,2,18.75,50.9,100,3,10,30,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,35,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,51,100,3,5,48,100,3,5,26,100,2,2.5,37,100,2,2.5,.,.,.,.,95.9,4,20,Partially Organized,2,10,99.7,5,5,
400047,LEARN - CAMPBELL,Charter,4.6,Level 1+,Not Applicable,94,100,5,18.75,99,100,5,18.75,69.2,100,4,10,95,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,99,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,70,100,4,5,73,100,4,5,89,100,4,2.5,92,100,5,2.5,.,.,.,.,95.2,4,20,Well Organized,5,10,100,5,5,
