SQRP SY2020 Individual Indicator Scores (Based on 2018-2019 Data),,,,,,NWEA MAP Growth Indicators - All Students,,,,,,,,,,,,NWEA MAP Growth Indicators - Priority Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWEA MAP Attainment Indicators,,,,,,,,,,,,,,,,ACCESS,,,,Other Indicators,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2019-2020 SQRP Rating,SY 2019-2020 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,"Pct of Students Making Sufficent 
Annual Progress",,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,
400153,ACERO - BRIGHTON PARK,Charter,3.7,Level 1,Not Applicable,82,100,4,15,55,100,3,15,59.8,100,3,10,.,.,.,.,81,100,5,1.25,76,100,5,1.25,.,.,.,.,.,.,.,.,57,100,4,1.25,58,100,4,1.25,.,.,.,.,74,100,4,5,69,100,3,5,56,100,3,2.5,53,100,3,2.5,34.6,100,2,5,96,5,20,Moderately Organized,3,10,99.9,5,5,
400159,CHRISTOPHER HOUSE,Charter,3.8,Level 1,Not Applicable,60,100,3,15,47,97,3,15,53.8,99,3,10,.,.,.,.,64,100,4,1.25,48,100,3,1.25,.,.,.,.,.,.,.,.,50,97,4,1.25,35,97,3,1.25,.,.,.,.,57,100,3,5,64,97,3,5,48,100,3,2.5,73,100,4,2.5,47.8,99,4,5,97.4,5,20,Well Organized,5,10,100,5,5,
400163,KIPP - BLOOM,Charter,4.4,Level 1+,Not Applicable,87,100,4,17.5,97,100,5,17.5,68.8,100,4,10,88,100,5,1.25,.,.,.,.,.,.,.,.,81,100,5,1.25,97,100,5,1.25,.,.,.,.,.,.,.,.,99,100,5,1.25,45,100,3,7.5,43,100,3,7.5,.,.,.,.,.,.,.,.,.,.,.,.,96.3,5,20,Well Organized,5,10,99.9,5,5,
400165,LEARN - MIDDLE,Charter,3.3,Level 2+,Not Applicable,46,100,3,17.5,60,100,3,17.5,51.5,100,3,10,50,100,4,1.25,.,.,.,.,.,.,.,.,62,100,4,1.25,60,100,4,1.25,.,.,.,.,.,.,.,.,39,100,3,1.25,38,100,2,7.5,41,100,3,7.5,.,.,.,.,.,.,.,.,.,.,.,.,95.4,4,20,Moderately Organized,3,10,100,5,5,
400168,GREAT LAKES,Charter,2.5,Level 2,Not Applicable,15,100,2,18.75,12,100,2,18.75,39.2,100,1,10,13,100,2,1.25,.,.,.,.,.,.,.,.,.,.,.,.,10,100,2,1.25,.,.,.,.,.,.,.,.,.,.,.,.,63,100,3,5,39,100,2,5,31,100,2,2.5,16,100,2,2.5,.,.,.,.,95.1,4,20,Partially Organized,2,10,100,5,5,
400178,MOVING EVEREST,Charter,3.1,Level 2+,Not Applicable,73,100,4,18.75,32,100,2,18.75,50.6,100,3,10,75,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,31,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,24,100,2,5,21,100,2,5,44,100,3,2.5,47,100,3,2.5,.,.,.,.,94.1,3,20,Organized,4,10,99.9,5,5,
400180,KIPP - ONE,Charter,4.9,Level 1+,Not Applicable,95,100,5,13.75,97,100,5,13.75,71.6,100,5,10,94,100,5,1.25,98,100,5,1.25,.,.,.,.,99,100,5,1.25,97,100,5,1.25,98,100,5,1.25,.,.,.,.,98,100,5,1.25,74,100,4,5,87,100,4,5,74,100,4,2.5,91,100,5,2.5,61.4,100,5,5,97.5,5,20,Well Organized,5,10,99.9,5,5,
609772,ADDAMS,ISP,3.5,Level 1,Good Standing,76,100,4,13.75,57,100,3,13.75,60.7,100,4,10,.,.,.,.,81,100,5,1.25,42,100,3,1.25,44,100,3,1.25,.,.,.,.,57,100,4,1.25,20,100,2,1.25,92,100,5,1.25,74,100,4,5,66,100,3,5,82,98,4,2.5,96,100,5,2.5,24.7,100,1,5,94.7,3,20,Organized,4,10,99.9,5,5,
609773,AGASSIZ,ISP,3.7,Level 1,Good Standing,64,100,3,13.75,40,100,3,13.75,57.3,100,3,10,50,100,4,1.25,62,100,4,1.25,.,.,.,.,40,100,3,1.25,12,100,2,1.25,28,100,2,1.25,.,.,.,.,12,100,2,1.25,92,100,5,5,80,100,4,5,93,100,5,2.5,64,100,3,2.5,40,100,3,5,95.2,4,20,Well Organized,5,10,99.8,5,5,
609777,ARMOUR,Network 6,3.5,Level 1,Good Standing,85,100,4,16.25,84,100,4,16.25,66.2,100,4,10,.,.,.,.,75,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,85,100,5,1.25,.,.,.,.,.,.,.,.,68,100,3,5,56,100,3,5,94,100,5,2.5,76,100,4,2.5,31.1,98,2,5,94.8,3,20,Partially Organized,2,10,99.9,5,5,
609779,ARMSTRONG G,ISP,4.4,Level 1+,Good Standing,87,100,4,12.5,84,100,4,12.5,69.3,100,4,10,92,100,5,1.25,85,100,5,1.25,87,100,5,1.25,44,100,3,1.25,87,100,5,1.25,75,100,5,1.25,84,100,5,1.25,31,100,3,1.25,85,100,4,5,92,100,5,5,74,99,4,2.5,87,99,4,2.5,43.5,99,3,5,96,5,20,Well Organized,5,10,99.7,5,5,
609782,AUDUBON,Network 4,4.6,Level 1+,Good Standing,88,100,4,15,95,100,5,15,69.9,100,4,10,.,.,.,.,86,100,5,1.25,.,.,.,.,78,100,5,1.25,.,.,.,.,85,100,5,1.25,.,.,.,.,37,100,3,1.25,96,100,5,5,92,100,5,5,95,100,5,2.5,89,100,4,2.5,52.4,97,4,5,96.5,5,20,Organized,4,10,99.6,5,5,
609786,AVALON PARK,ISP,3.1,Level 2+,Good Standing,40,100,3,18.75,52,100,3,18.75,51.9,100,3,10,40,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,52,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,36,100,2,5,37,100,2,5,29,100,2,2.5,18,100,2,2.5,.,.,.,.,94.5,3,20,Organized,4,10,99.9,5,5,
609788,BARNARD,Network 10,3.6,Level 1,Good Standing,82,100,4,18.75,61,100,3,18.75,63.5,100,4,10,83,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,60,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,63,100,3,5,36,100,2,5,14,100,2,2.5,4,100,1,2.5,.,.,.,.,95.6,4,20,Organized,4,10,99.9,5,5,
609789,BARRY,ISP,3.3,Level 2+,Good Standing,48,100,3,13.75,43,100,3,13.75,50.4,100,3,10,.,.,.,.,50,100,4,1.25,54,100,4,1.25,5,100,1,1.25,.,.,.,.,42,100,3,1.25,24,100,2,1.25,80,100,5,1.25,40,100,3,5,42,100,3,5,51,100,3,2.5,61,100,3,2.5,34.8,97,2,5,94.4,3,20,Well Organized,5,10,100,5,5,
609790,BARTON,Network 11,2.9,Level 2,Provisional Support,22,98,2,17.5,52,98,3,17.5,46,98,2,10,27,98,2,1.25,.,.,.,.,.,.,.,.,6,98,1,1.25,52,98,4,1.25,.,.,.,.,.,.,.,.,94,98,5,1.25,25,98,2,5,12,98,2,5,54,100,3,2.5,25,100,2,2.5,.,.,.,.,94.1,3,20,Well Organized,5,10,99.9,5,5,
609791,BASS,Network 11,3.1,Level 2+,Good Standing,88,100,4,17.5,69,100,3,17.5,58.6,100,3,10,86,100,5,1.25,.,.,.,.,.,.,.,.,58,100,4,1.25,65,100,4,1.25,.,.,.,.,.,.,.,.,27,100,2,1.25,38,100,2,5,34,100,2,5,8,100,1,2.5,7,100,1,2.5,.,.,.,.,93.3,2,20,Well Organized,5,10,99.6,5,5,
609792,BATEMAN,Network 1,4.1,Level 1+,Good Standing,81,100,4,13.75,65,100,3,13.75,62.3,100,4,10,.,.,.,.,78,100,5,1.25,79,100,5,1.25,88,100,5,1.25,.,.,.,.,61,100,4,1.25,52,100,4,1.25,81,100,5,1.25,75,100,4,5,67,100,3,5,60,100,3,2.5,47,100,3,2.5,28.9,100,2,5,96.4,5,20,Well Organized,5,10,99.9,5,5,
609793,NICHOLSON,Network 11,3.9,Level 1,Provisional Support,92,99,5,17.5,94,98,5,17.5,63.1,99,4,10,92,99,5,1.25,.,.,.,.,.,.,.,.,68,100,4,1.25,93,98,5,1.25,.,.,.,.,.,.,.,.,99,98,5,1.25,5,99,1,5,8,98,1,5,3,100,1,2.5,3,98,1,2.5,.,.,.,.,94.9,3,20,Well Organized,5,10,99.6,5,5,
609794,EDISON,Network 1,4.4,Level 1+,Good Standing,85,100,4,20,82,100,4,20,75.8,100,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,99,100,5,5,99,100,5,5,99,100,5,2.5,99,100,5,2.5,.,.,.,.,96.8,5,20,Moderately Organized,3,10,100,5,5,
609795,CLARK ES,ISP,3.7,Level 1,Good Standing,46,100,3,15,47,100,3,15,55.9,100,3,10,38,100,3,1.25,60,100,4,1.25,.,.,.,.,.,.,.,.,35,100,3,1.25,70,100,5,1.25,.,.,.,.,.,.,.,.,65,100,3,5,64,100,3,5,61,100,3,2.5,44,100,3,2.5,41.2,100,3,5,96.4,5,20,Well Organized,5,10,100,5,5,
609796,BEAUBIEN,Network 1,3.8,Level 1+,Good Standing,62,100,3,13.75,61,100,3,13.75,60.8,100,4,10,.,.,.,.,42,100,3,1.25,46,100,3,1.25,24,100,2,1.25,.,.,.,.,42,100,3,1.25,35,100,3,1.25,7,100,1,1.25,95,100,5,5,95,100,5,5,97,100,5,2.5,99,100,5,2.5,33,96,2,5,95.4,4,20,Well Organized,5,10,99.7,5,5,
609797,BEIDLER,Network 5,3.6,Level 1,Good Standing,91,100,5,18.75,50,100,3,18.75,53.9,100,3,10,90,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,52,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,41,100,3,5,25,100,2,5,6,95,1,2.5,13,95,2,2.5,.,.,.,.,95.6,4,20,Moderately Organized,3,10,99.8,5,5,
609798,BELDING,Network 1,4.2,Level 1+,Good Standing,76,100,4,13.75,81,100,4,13.75,66.6,100,4,10,.,.,.,.,81,100,5,1.25,70,100,5,1.25,21,100,2,1.25,.,.,.,.,63,100,4,1.25,95,100,5,1.25,43,100,3,1.25,83,100,4,5,84,100,4,5,95,97,5,2.5,90,99,5,2.5,36.4,98,3,5,95.6,4,20,Well Organized,5,10,99.7,5,5,
609799,BELL,Network 4,4.1,Level 1+,Good Standing,60,100,3,15,84,100,4,15,64.7,100,4,10,.,.,.,.,64,100,4,1.25,.,.,.,.,11,100,2,1.25,.,.,.,.,75,100,5,1.25,.,.,.,.,57,100,4,1.25,98,100,5,5,98,100,5,5,99,100,5,2.5,95,100,5,2.5,29.3,65,1,5,96.1,5,20,Organized,4,10,100,5,5,
609800,BENNETT,Network 13,2.8,Level 2,Provisional Support,24,100,2,17.5,50,100,3,17.5,48.5,100,2,10,25,100,2,1.25,.,.,.,.,.,.,.,.,3,100,1,1.25,50,100,4,1.25,.,.,.,.,.,.,.,.,2,100,1,1.25,30,100,2,5,26,100,2,5,14,100,2,2.5,31,100,2,2.5,.,.,.,.,95.3,4,20,Moderately Organized,3,10,99.9,5,5,
609803,BLAINE,Network 4,4.6,Level 1+,Good Standing,73,100,4,15,91,100,5,15,69.2,100,4,10,.,.,.,.,48,100,3,1.25,.,.,.,.,34,100,3,1.25,.,.,.,.,85,100,5,1.25,.,.,.,.,73,100,5,1.25,98,100,5,5,97,100,5,5,94,100,5,2.5,85,100,4,2.5,50,98,4,5,96.4,5,20,Well Organized,5,10,99.7,5,5,
609804,BOONE,Network 2,3.8,Level 1,Good Standing,75,100,4,12.5,69,100,3,12.5,62.3,100,4,10,38,100,3,1.25,75,100,5,1.25,83,100,5,1.25,25,100,2,1.25,25,100,2,1.25,63,100,4,1.25,61,100,4,1.25,68,100,4,1.25,72,100,4,5,69,100,3,5,82,98,4,2.5,87,100,4,2.5,32.8,100,2,5,95.5,4,20,Well Organized,5,10,99.7,5,5,
609805,JOPLIN,Network 11,3.9,Level 1,Good Standing,85,100,4,17.5,68,100,3,17.5,58.7,100,3,10,83,100,5,1.25,.,.,.,.,.,.,.,.,62,100,4,1.25,68,100,4,1.25,.,.,.,.,.,.,.,.,86,100,5,1.25,41,100,3,5,34,100,2,5,21,100,2,2.5,19,100,2,2.5,.,.,.,.,96.5,5,20,Well Organized,5,10,99.7,5,5,
609806,BRADWELL,AUSL,3.3,Level 2+,Good Standing,70,100,4,17.5,85,100,4,17.5,56,100,3,10,70,100,5,1.25,.,.,.,.,.,.,.,.,8,100,1,1.25,86,100,5,1.25,.,.,.,.,.,.,.,.,6,100,1,1.25,12,100,2,5,17,100,2,5,1,100,1,2.5,1,100,1,2.5,.,.,.,.,92.8,2,20,Well Organized,5,10,99.9,5,5,
609807,HAMPTON,Network 10,3.1,Level 2+,Good Standing,68,100,3,13.75,58,100,3,13.75,57.4,100,3,10,68,100,4,1.25,71,100,5,1.25,.,.,.,.,15,100,2,1.25,60,100,4,1.25,53,100,4,1.25,.,.,.,.,32,100,3,1.25,49,100,3,5,39,100,2,5,16,98,2,2.5,35,100,2,2.5,32.5,64,1,5,94.5,3,20,Organized,4,10,99.8,5,5,
609808,HALEY,Network 13,3.5,Level 1,Good Standing,66,99,3,17.5,48,99,3,17.5,56.1,99,3,10,62,99,4,1.25,.,.,.,.,.,.,.,.,36,99,3,1.25,47,99,3,1.25,.,.,.,.,.,.,.,.,8,99,1,1.25,30,99,2,5,28,99,2,5,7,96,1,2.5,5,100,1,2.5,.,.,.,.,96.2,5,20,Well Organized,5,10,99.9,5,5,
609809,BRENTANO,Network 4,3.9,Level 1,Good Standing,60,100,3,16.25,76,100,4,16.25,60.9,100,4,10,.,.,.,.,66,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,73,100,5,1.25,.,.,.,.,.,.,.,.,66,100,3,5,68,100,3,5,84,100,4,2.5,80,100,4,2.5,36.2,99,3,5,95.2,4,20,Well Organized,5,10,99.8,5,5,
609810,BRIDGE,Network 1,3.6,Level 1,Good Standing,86,100,4,13.75,55,100,3,13.75,62.9,100,4,10,.,.,.,.,83,100,5,1.25,82,100,5,1.25,66,100,4,1.25,.,.,.,.,43,100,3,1.25,37,100,3,1.25,6,100,1,1.25,85,100,4,5,77,100,4,5,70,98,4,2.5,70,98,4,2.5,39.5,99,3,5,95.1,4,20,Partially Organized,2,10,99.9,5,5,
609811,BRIGHT,Network 13,2.7,Level 2,Provisional Support,50,100,3,16.25,39,100,2,16.25,51.1,100,3,10,40,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,24,100,2,1.25,.,.,.,.,.,.,.,.,.,.,.,.,22,100,2,5,13,100,2,5,36,100,2,2.5,33,100,2,2.5,23.3,98,1,5,94.9,3,20,Moderately Organized,3,10,99.9,5,5,
609812,BROWN W,Network 6,2.7,Level 2,Provisional Support,7,99,1,17.5,42,99,3,17.5,44.6,99,2,10,6,99,1,1.25,.,.,.,.,.,.,.,.,2,99,1,1.25,40,99,3,1.25,.,.,.,.,.,.,.,.,47,99,3,1.25,15,99,2,5,12,99,2,5,1,96,1,2.5,3,96,1,2.5,.,.,.,.,95.1,4,20,Organized,4,10,100,5,5,
609813,BROWNELL,Network 12,3.9,Level 1,Good Standing,99,100,5,18.75,89,100,4,18.75,65.7,100,4,10,99,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,88,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,54,100,3,5,19,100,2,5,57,100,3,2.5,38,100,2,2.5,.,.,.,.,95.5,4,20,Moderately Organized,3,10,99.9,5,5,
609815,BOUCHET,Network 12,3.2,Level 2+,Good Standing,56,100,3,17.5,47,100,3,17.5,53.8,100,3,10,54,100,4,1.25,.,.,.,.,.,.,.,.,34,100,3,1.25,48,100,3,1.25,.,.,.,.,.,.,.,.,43,100,3,1.25,70,100,4,5,55,100,3,5,81,100,4,2.5,74,100,4,2.5,.,.,.,.,93.7,2,20,Well Organized,5,10,100,5,5,
609817,BUDLONG,ISP,4.3,Level 1+,Good Standing,85,100,4,15,91,100,5,15,66.7,100,4,10,.,.,.,.,82,100,5,1.25,81,100,5,1.25,.,.,.,.,.,.,.,.,90,100,5,1.25,77,100,5,1.25,.,.,.,.,89,100,4,5,88,100,4,5,97,100,5,2.5,97,100,5,2.5,28,100,2,5,95.9,4,20,Well Organized,5,10,99.9,5,5,
609818,BURBANK,Network 3,4.1,Level 1+,Good Standing,91,100,5,15,60,100,3,15,65.7,100,4,10,.,.,.,.,92,100,5,1.25,89,100,5,1.25,.,.,.,.,.,.,.,.,57,100,4,1.25,77,100,5,1.25,.,.,.,.,75,100,4,5,60,100,3,5,6,98,1,2.5,5,98,1,2.5,25.1,99,2,5,96.3,5,20,Well Organized,5,10,99.8,5,5,
609819,BURKE,Network 9,2.4,Level 2,Provisional Support,34,98,2,17.5,42,99,3,17.5,43.8,98,2,10,34,98,3,1.25,.,.,.,.,.,.,.,.,97,100,5,1.25,42,99,3,1.25,.,.,.,.,.,.,.,.,97,99,5,1.25,10,98,2,5,17,99,2,5,13,95,2,2.5,5,97,1,2.5,.,.,.,.,89.5,1,20,Organized,4,10,99.6,5,5,
609820,BURLEY,ISP,4.3,Level 1+,Good Standing,75,100,4,17.5,68,100,3,17.5,62.9,100,4,10,.,.,.,.,75,100,5,1.25,.,.,.,.,48,100,3,1.25,.,.,.,.,25,100,2,1.25,.,.,.,.,7,100,1,1.25,97,100,5,5,95,100,5,5,98,100,5,2.5,92,100,5,2.5,.,.,.,.,96.2,5,20,Well Organized,5,10,99.9,5,5,
609821,BURNHAM,Network 13,2.6,Level 2,Provisional Support,54,100,3,17.5,30,100,2,17.5,48.4,100,2,10,50,100,4,1.25,.,.,.,.,.,.,.,.,6,100,1,1.25,30,100,3,1.25,.,.,.,.,.,.,.,.,27,100,2,1.25,33,100,2,5,18,100,2,5,27,100,2,2.5,40,100,3,2.5,.,.,.,.,94.3,3,20,Partially Organized,2,10,100,5,5,
609827,BURNSIDE,Network 12,3.1,Level 2+,Good Standing,64,100,3,18.75,28,100,2,18.75,48.5,100,2,10,64,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,30,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,73,100,4,5,41,100,3,5,22,100,2,2.5,16,100,2,2.5,.,.,.,.,95.5,4,20,Organized,4,10,99.8,5,5,
609828,BURR,Network 6,4.1,Level 1+,Good Standing,78,100,4,15,45,100,3,15,55.8,100,3,10,.,.,.,.,73,100,5,1.25,.,.,.,.,98,100,5,1.25,.,.,.,.,45,100,3,1.25,.,.,.,.,47,100,3,1.25,88,100,4,5,76,100,4,5,95,100,5,2.5,87,100,4,2.5,40,96,3,5,96.2,5,20,Well Organized,5,10,100,5,5,
609829,BURROUGHS,ISP,3.4,Level 1,Good Standing,66,100,3,16.25,24,100,2,16.25,54.3,100,3,10,.,.,.,.,66,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,25,100,2,1.25,.,.,.,.,.,.,.,.,81,100,4,5,76,100,4,5,53,100,3,2.5,56,100,3,2.5,25.8,99,2,5,95.4,4,20,Well Organized,5,10,99.9,5,5,
609830,BRUNSON,Network 3,2.5,Level 2,Provisional Support,25,99,2,17.5,50,98,3,17.5,45.1,99,2,10,25,99,2,1.25,.,.,.,.,.,.,.,.,24,99,2,1.25,48,98,3,1.25,.,.,.,.,.,.,.,.,19,98,2,1.25,10,99,2,5,11,98,2,5,22,98,2,2.5,11,98,2,2.5,.,.,.,.,93.3,2,20,Organized,4,10,99.6,5,5,
609832,BYRNE,Network 10,3.2,Level 2+,Good Standing,60,100,3,15,58,100,3,15,57.6,100,3,10,.,.,.,.,62,100,4,1.25,.,.,.,.,42,100,3,1.25,.,.,.,.,55,100,4,1.25,.,.,.,.,96,100,5,1.25,66,100,3,5,56,100,3,5,74,100,4,2.5,62,100,3,2.5,26.3,95,2,5,95.1,4,20,Partially Organized,2,10,99.8,5,5,
609833,CALDWELL,ISP,3.6,Level 1,Good Standing,94,100,5,17.5,58,100,3,17.5,59.7,100,3,10,92,100,5,1.25,.,.,.,.,.,.,.,.,99,100,5,1.25,58,100,4,1.25,.,.,.,.,.,.,.,.,76,100,5,1.25,93,100,5,5,60,100,3,5,50,100,3,2.5,36,95,2,2.5,.,.,.,.,93.6,2,20,Well Organized,5,10,99.5,5,5,
609834,LITTLE VILLAGE,ISP,3.7,Level 1,Good Standing,79,100,4,15,58,100,3,15,57.3,100,3,10,.,.,.,.,79,100,5,1.25,87,100,5,1.25,.,.,.,.,.,.,.,.,58,100,4,1.25,27,100,2,1.25,.,.,.,.,46,100,3,5,35,100,2,5,42,100,3,2.5,89,100,4,2.5,41.6,100,3,5,95.9,4,20,Well Organized,5,10,99.9,5,5,
609835,CAMERON,ISP,3.1,Level 2+,Good Standing,46,100,3,12.5,32,100,2,12.5,50.5,100,3,10,32,100,3,1.25,54,100,4,1.25,42,100,3,1.25,8,100,1,1.25,23,100,2,1.25,34,100,3,1.25,61,100,4,1.25,15,100,2,1.25,49,100,3,5,44,100,3,5,61,100,3,2.5,54,100,3,2.5,19.8,100,1,5,94.9,3,20,Well Organized,5,10,99.6,5,5,
609836,CANTY,Network 1,4.2,Level 1+,Good Standing,89,100,4,13.75,84,100,4,13.75,70,100,5,10,.,.,.,.,95,100,5,1.25,95,100,5,1.25,75,100,5,1.25,.,.,.,.,80,100,5,1.25,58,100,4,1.25,80,100,5,1.25,92,100,5,5,91,100,5,5,84,100,4,2.5,86,100,4,2.5,58.6,99,5,5,95.3,4,20,Partially Organized,2,10,99.9,5,5,
609837,CARNEGIE,ISP,3.1,Level 2+,Good Standing,64,100,3,17.5,25,100,2,17.5,50.9,100,3,10,64,100,4,1.25,.,.,.,.,.,.,.,.,86,100,5,1.25,25,100,2,1.25,.,.,.,.,.,.,.,.,50,100,4,1.25,82,100,4,5,59,100,3,5,78,99,4,2.5,55,100,3,2.5,.,.,.,.,94.9,3,20,Organized,4,10,99.9,5,5,
609839,CARROLL,Network 10,3.8,Level 1,Good Standing,82,100,4,17.5,58,100,3,17.5,60,100,4,10,82,100,5,1.25,.,.,.,.,.,.,.,.,48,100,3,1.25,58,100,4,1.25,.,.,.,.,.,.,.,.,17,100,2,1.25,64,100,3,5,44,100,3,5,62,100,3,2.5,33,98,2,2.5,.,.,.,.,95.1,4,20,Well Organized,5,10,99.7,5,5,
609842,CARSON,ISP,4.5,Level 1+,Good Standing,92,100,5,15,96,100,5,15,73.6,100,5,10,.,.,.,.,91,100,5,1.25,94,100,5,1.25,.,.,.,.,.,.,.,.,97,100,5,1.25,93,100,5,1.25,.,.,.,.,72,100,4,5,74,100,4,5,56,100,3,2.5,54,100,3,2.5,36,99,3,5,96.7,5,20,Moderately Organized,3,10,100,5,5,
609844,CARTER,AUSL,3.2,Level 2+,Good Standing,50,99,3,17.5,35,100,2,17.5,48.3,99,2,10,52,99,4,1.25,.,.,.,.,.,.,.,.,19,100,2,1.25,35,100,3,1.25,.,.,.,.,.,.,.,.,39,100,3,1.25,35,99,2,5,38,100,2,5,47,98,3,2.5,65,98,3,2.5,.,.,.,.,97,5,20,Organized,4,10,100,5,5,
609845,CARVER G,Network 13,2.4,Level 2,Intensive Support,64,100,3,17.5,45,100,3,17.5,55.8,100,3,10,64,100,4,1.25,.,.,.,.,.,.,.,.,8,100,1,1.25,45,100,3,1.25,.,.,.,.,.,.,.,.,40,100,3,1.25,22,100,2,5,10,100,2,5,20,99,2,2.5,21,97,2,2.5,.,.,.,.,90.8,1,20,Partially Organized,2,10,99.8,5,5,
609848,ALDRIDGE,Network 13,3.2,Level 2+,Intensive Support,73,100,4,18.75,31,100,2,18.75,54.8,100,3,10,73,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,31,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,45,100,3,5,28,100,2,5,12,100,2,2.5,14,100,2,2.5,.,.,.,.,94.3,3,20,Well Organized,5,10,100,5,5,
609849,CASSELL,ISP,4.2,Level 1+,Good Standing,82,100,4,17.5,72,100,4,17.5,65.1,100,4,10,.,.,.,.,78,100,5,1.25,.,.,.,.,82,100,5,1.25,.,.,.,.,69,100,4,1.25,.,.,.,.,77,100,5,1.25,85,100,4,5,72,100,4,5,75,100,4,2.5,78,100,4,2.5,.,.,.,.,95.4,4,20,Well Organized,5,10,99.6,5,5,
609850,GREELEY,Network 4,3.2,Level 1,Good Standing,66,100,3,15,63,100,3,15,62.1,100,4,10,46,100,3,1.25,64,100,4,1.25,.,.,.,.,.,.,.,.,68,100,4,1.25,57,100,4,1.25,.,.,.,.,.,.,.,.,83,100,4,5,86,100,4,5,83,100,4,2.5,75,100,4,2.5,44.7,92,1,5,94.9,3,20,Partially Organized,2,10,99.7,5,5,
609851,CHALMERS,AUSL,3.3,Level 2+,Intensive Support,78,99,4,17.5,55,97,3,17.5,53.3,98,3,10,78,99,5,1.25,.,.,.,.,.,.,.,.,18,100,2,1.25,52,97,4,1.25,.,.,.,.,.,.,.,.,45,100,3,1.25,29,99,2,5,25,97,2,5,20,95,2,2.5,14,95,2,2.5,.,.,.,.,95.7,4,20,Partially Organized,2,10,99.9,5,5,
609852,CHAPPELL,ISP,3.9,Level 1,Good Standing,68,100,3,13.75,63,100,3,13.75,60.2,100,4,10,.,.,.,.,76,100,5,1.25,71,100,5,1.25,83,100,5,1.25,.,.,.,.,50,100,4,1.25,47,100,3,1.25,24,100,2,1.25,83,100,4,5,80,100,4,5,98,100,5,2.5,83,100,4,2.5,38,100,3,5,95.8,4,20,Well Organized,5,10,100,5,5,
609853,CHASE,Network 4,4.2,Level 1+,Good Standing,79,100,4,15,87,100,4,15,67.5,100,4,10,.,.,.,.,76,100,5,1.25,87,100,5,1.25,.,.,.,.,.,.,.,.,89,100,5,1.25,76,100,5,1.25,.,.,.,.,67,100,3,5,81,100,4,5,26,100,2,2.5,31,100,2,2.5,30.2,100,2,5,96.1,5,20,Well Organized,5,10,99.9,5,5,
609854,CHOPIN,Network 5,3.3,Level 2+,Provisional Support,88,100,4,13.75,70,100,4,13.75,59.9,100,3,10,71,100,5,1.25,91,100,5,1.25,.,.,.,.,97,100,5,1.25,73,100,5,1.25,70,100,5,1.25,.,.,.,.,45,100,3,1.25,48,100,3,5,45,100,3,5,18,97,2,2.5,3,97,1,2.5,27,95,2,5,93.6,2,20,Organized,4,10,99.8,5,5,
